Variant_name,Run_Batch,Variant_path,date_created,date_loaded,FSW_rows,Simulation_columns,FSW_columns,Scenario,Month,Time_offset,Description,data_file
1_0.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_0.0_0.xml_logs,2025-08-29T03:54:34.216196,2025-08-29T03:54:45.984822,602,69,134,baseline,January,0.0,Firesat_Baseline January Time Offset:0.0,./data/raw/baseline/fsw_data_1_0.0_0.csv
1_36.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_36.0_0.xml_logs,2025-08-29T03:54:46.089648,2025-08-29T03:54:58.827963,602,69,134,baseline,January,36.0,Firesat_Baseline January Time Offset:36.0,./data/raw/baseline/fsw_data_1_36.0_0.csv
1_72.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_72.0_0.xml_logs,2025-08-29T03:54:58.928442,2025-08-29T03:55:11.794282,602,69,134,baseline,January,72.0,Firesat_Baseline January Time Offset:72.0,./data/raw/baseline/fsw_data_1_72.0_0.csv
1_108.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_108.0_0.xml_logs,2025-08-29T03:55:11.900084,2025-08-29T03:55:23.651383,602,69,134,baseline,January,108.0,Firesat_Baseline January Time Offset:108.0,./data/raw/baseline/fsw_data_1_108.0_0.csv
1_144.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_144.0_0.xml_logs,2025-08-29T03:55:23.744846,2025-08-29T03:55:35.496401,602,69,134,baseline,January,144.0,Firesat_Baseline January Time Offset:144.0,./data/raw/baseline/fsw_data_1_144.0_0.csv
1_180.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_180.0_0.xml_logs,2025-08-29T03:55:35.597785,2025-08-29T03:55:48.368439,602,69,134,baseline,January,180.0,Firesat_Baseline January Time Offset:180.0,./data/raw/baseline/fsw_data_1_180.0_0.csv
1_216.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_216.0_0.xml_logs,2025-08-29T03:55:48.466936,2025-08-29T03:56:01.214899,602,69,134,baseline,January,216.0,Firesat_Baseline January Time Offset:216.0,./data/raw/baseline/fsw_data_1_216.0_0.csv
1_252.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_252.0_0.xml_logs,2025-08-29T03:56:01.312811,2025-08-29T03:56:13.082317,602,69,134,baseline,January,252.0,Firesat_Baseline January Time Offset:252.0,./data/raw/baseline/fsw_data_1_252.0_0.csv
1_288.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_288.0_0.xml_logs,2025-08-29T03:56:13.181180,2025-08-29T03:56:24.937788,602,69,134,baseline,January,288.0,Firesat_Baseline January Time Offset:288.0,./data/raw/baseline/fsw_data_1_288.0_0.csv
1_324.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_1_324.0_0.xml_logs,2025-08-29T03:56:25.037655,2025-08-29T03:56:36.775696,602,69,134,baseline,January,324.0,Firesat_Baseline January Time Offset:324.0,./data/raw/baseline/fsw_data_1_324.0_0.csv
2_0.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_0.0_0.xml_logs,2025-08-29T03:56:36.870969,2025-08-29T03:56:53.674019,602,69,134,baseline,February,0.0,Firesat_Baseline February Time Offset:0.0,./data/raw/baseline/fsw_data_2_0.0_0.csv
2_36.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_36.0_0.xml_logs,2025-08-29T03:56:53.786016,2025-08-29T03:57:08.584801,602,69,134,baseline,February,36.0,Firesat_Baseline February Time Offset:36.0,./data/raw/baseline/fsw_data_2_36.0_0.csv
2_72.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_72.0_0.xml_logs,2025-08-29T03:57:08.689219,2025-08-29T03:57:21.469248,602,69,134,baseline,February,72.0,Firesat_Baseline February Time Offset:72.0,./data/raw/baseline/fsw_data_2_72.0_0.csv
2_108.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_108.0_0.xml_logs,2025-08-29T03:57:21.573657,2025-08-29T03:57:33.324628,602,69,134,baseline,February,108.0,Firesat_Baseline February Time Offset:108.0,./data/raw/baseline/fsw_data_2_108.0_0.csv
2_144.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_144.0_0.xml_logs,2025-08-29T03:57:33.422392,2025-08-29T03:57:45.152453,602,69,134,baseline,February,144.0,Firesat_Baseline February Time Offset:144.0,./data/raw/baseline/fsw_data_2_144.0_0.csv
2_180.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_180.0_0.xml_logs,2025-08-29T03:57:45.258865,2025-08-29T03:57:57.031187,602,69,134,baseline,February,180.0,Firesat_Baseline February Time Offset:180.0,./data/raw/baseline/fsw_data_2_180.0_0.csv
2_216.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_216.0_0.xml_logs,2025-08-29T03:57:57.137512,2025-08-29T03:58:08.951600,602,69,134,baseline,February,216.0,Firesat_Baseline February Time Offset:216.0,./data/raw/baseline/fsw_data_2_216.0_0.csv
2_252.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_252.0_0.xml_logs,2025-08-29T03:58:09.051854,2025-08-29T03:58:20.806186,602,69,134,baseline,February,252.0,Firesat_Baseline February Time Offset:252.0,./data/raw/baseline/fsw_data_2_252.0_0.csv
2_288.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_288.0_0.xml_logs,2025-08-29T03:58:20.904858,2025-08-29T03:58:32.643898,602,69,134,baseline,February,288.0,Firesat_Baseline February Time Offset:288.0,./data/raw/baseline/fsw_data_2_288.0_0.csv
2_324.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_2_324.0_0.xml_logs,2025-08-29T03:58:32.749569,2025-08-29T03:58:44.530893,602,69,134,baseline,February,324.0,Firesat_Baseline February Time Offset:324.0,./data/raw/baseline/fsw_data_2_324.0_0.csv
3_0.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_0.0_0.xml_logs,2025-08-29T03:58:44.643428,2025-08-29T03:58:57.410877,602,69,134,baseline,March,0.0,Firesat_Baseline March Time Offset:0.0,./data/raw/baseline/fsw_data_3_0.0_0.csv
3_36.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_36.0_0.xml_logs,2025-08-29T03:58:57.509966,2025-08-29T03:59:10.294142,602,69,134,baseline,March,36.0,Firesat_Baseline March Time Offset:36.0,./data/raw/baseline/fsw_data_3_36.0_0.csv
3_72.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_72.0_0.xml_logs,2025-08-29T03:59:10.406750,2025-08-29T03:59:23.186317,602,69,134,baseline,March,72.0,Firesat_Baseline March Time Offset:72.0,./data/raw/baseline/fsw_data_3_72.0_0.csv
3_108.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_108.0_0.xml_logs,2025-08-29T03:59:23.284593,2025-08-29T03:59:36.034714,602,69,134,baseline,March,108.0,Firesat_Baseline March Time Offset:108.0,./data/raw/baseline/fsw_data_3_108.0_0.csv
3_144.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_144.0_0.xml_logs,2025-08-29T03:59:36.133574,2025-08-29T03:59:47.860057,602,69,134,baseline,March,144.0,Firesat_Baseline March Time Offset:144.0,./data/raw/baseline/fsw_data_3_144.0_0.csv
3_180.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_180.0_0.xml_logs,2025-08-29T03:59:47.962009,2025-08-29T03:59:59.728022,602,69,134,baseline,March,180.0,Firesat_Baseline March Time Offset:180.0,./data/raw/baseline/fsw_data_3_180.0_0.csv
3_216.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_216.0_0.xml_logs,2025-08-29T03:59:59.844387,2025-08-29T04:00:11.684586,602,69,134,baseline,March,216.0,Firesat_Baseline March Time Offset:216.0,./data/raw/baseline/fsw_data_3_216.0_0.csv
3_252.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_252.0_0.xml_logs,2025-08-29T04:00:11.780148,2025-08-29T04:00:23.547487,602,69,134,baseline,March,252.0,Firesat_Baseline March Time Offset:252.0,./data/raw/baseline/fsw_data_3_252.0_0.csv
3_288.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_288.0_0.xml_logs,2025-08-29T04:00:23.651995,2025-08-29T04:00:35.413634,602,69,134,baseline,March,288.0,Firesat_Baseline March Time Offset:288.0,./data/raw/baseline/fsw_data_3_288.0_0.csv
3_324.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_3_324.0_0.xml_logs,2025-08-29T04:00:35.514402,2025-08-29T04:00:47.272950,602,69,134,baseline,March,324.0,Firesat_Baseline March Time Offset:324.0,./data/raw/baseline/fsw_data_3_324.0_0.csv
4_0.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_0.0_0.xml_logs,2025-08-29T04:00:47.395381,2025-08-29T04:01:00.125621,602,69,134,baseline,April,0.0,Firesat_Baseline April Time Offset:0.0,./data/raw/baseline/fsw_data_4_0.0_0.csv
4_36.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_36.0_0.xml_logs,2025-08-29T04:01:00.230658,2025-08-29T04:01:12.008181,602,69,134,baseline,April,36.0,Firesat_Baseline April Time Offset:36.0,./data/raw/baseline/fsw_data_4_36.0_0.csv
4_72.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_72.0_0.xml_logs,2025-08-29T04:01:12.109571,2025-08-29T04:01:24.857522,602,69,134,baseline,April,72.0,Firesat_Baseline April Time Offset:72.0,./data/raw/baseline/fsw_data_4_72.0_0.csv
4_108.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_108.0_0.xml_logs,2025-08-29T04:01:24.956580,2025-08-29T04:01:36.690961,602,69,134,baseline,April,108.0,Firesat_Baseline April Time Offset:108.0,./data/raw/baseline/fsw_data_4_108.0_0.csv
4_144.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_144.0_0.xml_logs,2025-08-29T04:01:36.788438,2025-08-29T04:01:48.541421,602,69,134,baseline,April,144.0,Firesat_Baseline April Time Offset:144.0,./data/raw/baseline/fsw_data_4_144.0_0.csv
4_180.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_180.0_0.xml_logs,2025-08-29T04:01:48.639128,2025-08-29T04:02:00.443151,602,69,127,baseline,April,180.0,Firesat_Baseline April Time Offset:180.0,./data/raw/baseline/fsw_data_4_180.0_0.csv
4_216.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_216.0_0.xml_logs,2025-08-29T04:02:00.544183,2025-08-29T04:02:12.286163,602,69,134,baseline,April,216.0,Firesat_Baseline April Time Offset:216.0,./data/raw/baseline/fsw_data_4_216.0_0.csv
4_252.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_252.0_0.xml_logs,2025-08-29T04:02:12.385962,2025-08-29T04:02:24.126327,602,69,134,baseline,April,252.0,Firesat_Baseline April Time Offset:252.0,./data/raw/baseline/fsw_data_4_252.0_0.csv
4_288.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_288.0_0.xml_logs,2025-08-29T04:02:24.229522,2025-08-29T04:02:36.028670,602,69,134,baseline,April,288.0,Firesat_Baseline April Time Offset:288.0,./data/raw/baseline/fsw_data_4_288.0_0.csv
4_324.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_4_324.0_0.xml_logs,2025-08-29T04:02:36.130754,2025-08-29T04:02:48.910023,602,69,134,baseline,April,324.0,Firesat_Baseline April Time Offset:324.0,./data/raw/baseline/fsw_data_4_324.0_0.csv
5_0.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_0.0_0.xml_logs,2025-08-29T04:02:49.012157,2025-08-29T04:03:01.753281,602,69,134,baseline,May,0.0,Firesat_Baseline May Time Offset:0.0,./data/raw/baseline/fsw_data_5_0.0_0.csv
5_36.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_36.0_0.xml_logs,2025-08-29T04:03:01.852898,2025-08-29T04:03:13.594775,602,69,134,baseline,May,36.0,Firesat_Baseline May Time Offset:36.0,./data/raw/baseline/fsw_data_5_36.0_0.csv
5_72.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_72.0_0.xml_logs,2025-08-29T04:03:13.692000,2025-08-29T04:03:26.443966,602,69,127,baseline,May,72.0,Firesat_Baseline May Time Offset:72.0,./data/raw/baseline/fsw_data_5_72.0_0.csv
5_108.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_108.0_0.xml_logs,2025-08-29T04:03:26.546967,2025-08-29T04:03:39.289203,602,69,134,baseline,May,108.0,Firesat_Baseline May Time Offset:108.0,./data/raw/baseline/fsw_data_5_108.0_0.csv
5_144.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_144.0_0.xml_logs,2025-08-29T04:03:39.385575,2025-08-29T04:03:51.139052,602,69,134,baseline,May,144.0,Firesat_Baseline May Time Offset:144.0,./data/raw/baseline/fsw_data_5_144.0_0.csv
5_180.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_180.0_0.xml_logs,2025-08-29T04:03:51.235329,2025-08-29T04:04:03.060365,602,69,127,baseline,May,180.0,Firesat_Baseline May Time Offset:180.0,./data/raw/baseline/fsw_data_5_180.0_0.csv
5_216.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_216.0_0.xml_logs,2025-08-29T04:04:03.157785,2025-08-29T04:04:14.900277,602,69,134,baseline,May,216.0,Firesat_Baseline May Time Offset:216.0,./data/raw/baseline/fsw_data_5_216.0_0.csv
5_252.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_252.0_0.xml_logs,2025-08-29T04:04:14.996551,2025-08-29T04:04:26.742958,602,69,127,baseline,May,252.0,Firesat_Baseline May Time Offset:252.0,./data/raw/baseline/fsw_data_5_252.0_0.csv
5_288.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_288.0_0.xml_logs,2025-08-29T04:04:26.856866,2025-08-29T04:04:38.644942,602,69,134,baseline,May,288.0,Firesat_Baseline May Time Offset:288.0,./data/raw/baseline/fsw_data_5_288.0_0.csv
5_324.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_5_324.0_0.xml_logs,2025-08-29T04:04:38.753207,2025-08-29T04:04:50.484704,602,69,134,baseline,May,324.0,Firesat_Baseline May Time Offset:324.0,./data/raw/baseline/fsw_data_5_324.0_0.csv
6_0.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_0.0_0.xml_logs,2025-08-29T04:04:50.578295,2025-08-29T04:05:03.326820,602,69,134,baseline,June,0.0,Firesat_Baseline June Time Offset:0.0,./data/raw/baseline/fsw_data_6_0.0_0.csv
6_36.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_36.0_0.xml_logs,2025-08-29T04:05:03.420993,2025-08-29T04:05:16.169256,602,69,127,baseline,June,36.0,Firesat_Baseline June Time Offset:36.0,./data/raw/baseline/fsw_data_6_36.0_0.csv
6_72.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_72.0_0.xml_logs,2025-08-29T04:05:16.277371,2025-08-29T04:05:29.035014,602,69,134,baseline,June,72.0,Firesat_Baseline June Time Offset:72.0,./data/raw/baseline/fsw_data_6_72.0_0.csv
6_108.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_108.0_0.xml_logs,2025-08-29T04:05:29.131250,2025-08-29T04:05:40.880861,602,69,134,baseline,June,108.0,Firesat_Baseline June Time Offset:108.0,./data/raw/baseline/fsw_data_6_108.0_0.csv
6_144.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_144.0_0.xml_logs,2025-08-29T04:05:40.985299,2025-08-29T04:05:52.723707,602,69,134,baseline,June,144.0,Firesat_Baseline June Time Offset:144.0,./data/raw/baseline/fsw_data_6_144.0_0.csv
6_180.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_180.0_0.xml_logs,2025-08-29T04:05:52.821620,2025-08-29T04:06:04.604757,602,69,134,baseline,June,180.0,Firesat_Baseline June Time Offset:180.0,./data/raw/baseline/fsw_data_6_180.0_0.csv
6_216.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_216.0_0.xml_logs,2025-08-29T04:06:04.701556,2025-08-29T04:06:16.507575,602,69,127,baseline,June,216.0,Firesat_Baseline June Time Offset:216.0,./data/raw/baseline/fsw_data_6_216.0_0.csv
6_252.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_252.0_0.xml_logs,2025-08-29T04:06:16.610587,2025-08-29T04:06:28.361066,602,69,134,baseline,June,252.0,Firesat_Baseline June Time Offset:252.0,./data/raw/baseline/fsw_data_6_252.0_0.csv
6_288.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_288.0_0.xml_logs,2025-08-29T04:06:28.459949,2025-08-29T04:06:40.243824,602,69,134,baseline,June,288.0,Firesat_Baseline June Time Offset:288.0,./data/raw/baseline/fsw_data_6_288.0_0.csv
6_324.0_0,Firesat_Baseline,Firesat_Baseline/FireSat_baseline_updated_6_324.0_0.xml_logs,2025-08-29T04:06:40.347411,2025-08-29T04:06:53.095560,602,69,134,baseline,June,324.0,Firesat_Baseline June Time Offset:324.0,./data/raw/baseline/fsw_data_6_324.0_0.csv
